ID,Nazwa produktu,Opis,Cena,Ilość,Kategoria
1,Czapka zimowa,Opis produktu 1,29.99,100,Accessories
2,Czapka letnia,Opis produktu 2,49.99,75,Apparel
3,Czapka sportowa,Opis produktu 3,19.99,120,Accessories
4,Czapka z daszkiem,Opis produktu 4,99.99,50,Apparel
5,Czapka wełniana,Opis produktu 5,39.99,80,Accessories
6,Czapka narciarska,Opis produktu 6,59.99,60,Apparel
7,Czapka z logo,Opis produktu 7,79.99,90,Accessories
8,Czapka męska,Opis produktu 8,29.99,110,Apparel
9,Czapka damska,Opis produktu 9,69.99,70,Accessories
10,Czapka dziecięca,Opis produktu 10,89.99,40,Apparel
11,Czapka zimowa czerwona,Opis produktu 11,24.99,95,Accessories
12,Czapka letnia czarna,Opis produktu 12,34.99,85,Apparel
13,Czapka sportowa niebieska,Opis produktu 13,14.99,130,Accessories
14,Czapka z daszkiem różowa,Opis produktu 14,79.99,55,Apparel
15,Czapka wełniana szara,Opis produktu 15,49.99,75,Accessories
16,Czapka narciarska fioletowa,Opis produktu 16,69.99,65,Apparel
17,Czapka z logo czarna,Opis produktu 17,99.99,45,Accessories
18,Czapka męska brązowa,Opis produktu 18,39.99,100,Apparel
19,Czapka damska różowa,Opis produktu 19,59.99,80,Accessories
20,Czapka dziecięca niebieska,Opis produktu 20,29.99,120,Apparel